,order,促销费,原价,商家应得,服务费,顾客实付
20210511_周五周六自助晚餐_周五周六自助晚餐[538.0元][698067931],47.0,0.0,30456.0,24274.559999999983,1011.4399999999995,25286.0
20210609_双人下午茶套餐_中洲万豪酒店大堂酒廊单人餐[384.0元][703710391],7.0,0.0,3640.0,2580.4799999999996,107.52,2688.0
20210614_日式午餐定食_中洲万豪南山尚膳自助餐单人餐[188.0元][703830303],2.0,0.0,440.0,360.96,15.04,376.0
20210712_限时抢购 | 咖啡+甜品套餐_中洲万豪咖啡廊单人餐[39.0元][709754879][已下线],2.0,0.0,212.0,73.32,4.68,78.0
20210712_限时抢购 | 咖啡通用券_中洲万豪咖啡廊店制咖啡1杯[10.0元][709752974][已下线],1.0,0.0,58.0,9.4,0.6,10.0
20210722_周三周四单人自助晚餐_周三周四单人自助晚餐[404.0元][712889355],35.0,0.0,19180.0,13497.600000000004,562.4000000000002,14060.0
20210815_夏无止境 | 双人点心拼盘_中洲万豪酒店·万豪中餐厅Ma...2人餐[128.0元][717585262][已下线],1.0,0.0,404.0,121.6,6.4,128.0
20210815_夏无止境 | 周五至周日自助晚餐_夏无止境 | 周五至周日自助晚餐[486.0元][717595944][已下线],6.0,0.0,3888.0,2799.36,116.64,2916.0
Total,101.0,0.0,58278.0,43717.279999999984,1824.7199999999998,45542.0
